x,y,population,time_days
249.15381356597996,-55.48440192756583,IDHmut_TP53mut,3.25
111.91830267336597,24.72345861285226,IDHmut_TP53mut,3.25
215.64898045841326,-114.84656061844429,IDHmut_TP53mut,3.25
304.8306647613529,20.81353116775003,IDHmut_TP53mut,3.25
141.02779892803554,89.35765317042778,IDHmut_TP53mut,3.25
280.6921986208176,72.20548252600273,IDHmut_TP53mut,3.25
192.88639539118998,-85.32870762286397,IDHmut_TP53mut,3.25
194.25577171769177,60.648914213678225,IDHmut_TP53mut,3.25
173.82879104475012,84.71810248421954,IDHmut_TP53mut,3.25
206.51079683630437,-76.73663518936362,IDHmut_TP53mut,3.25
221.1629897009549,28.67105902541923,IDHmut_TP53mut,3.25
114.45677894643217,-64.86487313676597,IDHmut_TP53mut,3.25
275.6711111818148,-70.88093998747213,IDHmut_TP53mut,3.25
210.57365014716387,17.105213678770653,IDHmut_TP53mut,3.25
185.0243006712232,-33.68173073089166,IDHmut_TP53mut,3.25
258.5440089771824,-110.60468553728064,IDHmut_TP53mut,3.25
185.41565603721017,8.323139067361968,IDHmut_TP53mut,3.25
243.41386370909638,-13.15731539068169,IDHmut_TP53mut,3.25
200.95239302822387,-121.75444274746584,IDHmut_TP53mut,3.25
208.6436861196515,70.91509041543245,IDHmut_TP53mut,3.25
172.16600466497903,-61.68986292337033,IDHmut_TP53mut,3.25
163.4286807000809,55.02827525396779,IDHmut_TP53mut,3.25
275.4104166164718,35.42399388511633,IDHmut_TP53mut,3.25
268.10051075451605,-1.1685843259125155,IDHmut_TP53mut,3.25
262.13750437861876,44.714575169823746,IDHmut_TP53mut,3.25
301.790458931717,-55.42452073877481,IDHmut_TP53mut,3.25
152.9276382117604,-82.038236238336,IDHmut_TP53mut,3.25
223.83111652816325,121.89224355382864,IDHmut_TP53mut,3.25
205.6777325573241,31.87166488108251,IDHmut_TP53mut,3.25
234.44127244992657,-26.219466300818645,IDHmut_TP53mut,3.25
212.6627271671072,-39.72426032018683,IDHmut_TP53mut,3.25
189.17792380884705,-18.827934411609334,IDHmut_TP53mut,3.25
229.8968870431897,-107.2298196160253,IDHmut_TP53mut,3.25
238.42693637481415,80.75979835531975,IDHmut_TP53mut,3.25
271.55315675518517,-54.94399752607009,IDHmut_TP53mut,3.25
122.98345999890125,13.424854181777329,IDHmut_TP53mut,3.25
160.57958777310702,88.45875246658125,IDHmut_TP53mut,3.25
163.96484541606205,-34.67852399784036,IDHmut_TP53mut,3.25
178.91874776337815,-6.412111518514522,IDHmut_TP53mut,3.25
252.27002511331884,-0.03316616167033433,IDHmut_TP53mut,3.25
179.91114581466908,53.97233793443247,IDHmut_TP53mut,3.25
96.62774392718455,19.7433430602957,IDHmut_TP53mut,3.25
236.74559776051805,28.16854394871101,IDHmut_TP53mut,3.25
248.70108652047844,54.29200288262816,IDHmut_TP53mut,3.25
160.5404873539403,-50.85506020523176,IDHmut_TP53mut,3.25
247.85306576563065,38.65434376191462,IDHmut_TP53mut,3.25
218.83469646147088,-66.66196134995481,IDHmut_TP53mut,3.25
245.12595399708732,-102.1753461952251,IDHmut_TP53mut,3.25
-132.44200134141118,37.28850461812173,IDHmut_TP53wt,3.25
105.29054846882353,-24.362471996530846,IDHmut_TP53mut,3.25
156.91121286865217,-66.45262484241714,IDHmut_TP53mut,3.25
-180.15169161149763,58.01710449098072,IDHmut_TP53wt,3.25
-139.62639149388446,-33.56228945960976,IDHmut_TP53wt,3.25
156.8459010094719,40.3639149653612,IDHmut_TP53mut,3.25
-288.4525718776923,-42.79641581688684,IDHmut_TP53wt,3.25
172.6126879746757,40.37197825803621,IDHmut_TP53mut,3.25
177.85452515353927,-89.96342273247373,IDHmut_TP53mut,3.25
127.74583617651633,28.76661358494169,IDHmut_TP53mut,3.25
-253.85308422149512,-30.43382050176141,IDHmut_TP53wt,3.25
-196.4496563586007,101.66388485648709,IDHmut_TP53wt,3.25
-267.0375121406342,90.27927116253633,IDHmut_TP53wt,3.25
151.52617552776985,78.91617152658657,IDHmut_TP53mut,3.25
-223.04577957914293,-25.431240057442796,IDHmut_TP53wt,3.25
206.77634834889054,101.24935047740118,IDHmut_TP53mut,3.25
303.53050426762246,36.560310300947684,IDHmut_TP53mut,3.25
-273.72957224989864,-19.46442404393609,IDHmut_TP53wt,3.25
-154.69829695032996,-29.055802401157653,IDHmut_TP53wt,3.25
291.04735996756284,-43.57611825897976,IDHmut_TP53mut,3.25
-239.13641412765506,-35.78974837854801,IDHmut_TP53wt,3.25
-294.12788519968177,44.321068361571854,IDHmut_TP53wt,3.25
313.4680752799202,7.309940651681809,IDHmut_TP53mut,3.25
-279.60372713196574,62.7490458474223,IDHmut_TP53wt,3.25
119.27318898404201,42.84667186483327,IDHmut_TP53mut,3.25
251.44978960744936,117.55800552512294,IDHmut_TP53mut,3.25
137.70669730008277,-86.70254002485679,IDHmut_TP53mut,3.25
-140.15075656501764,11.023983295365253,IDHmut_TP53wt,3.25
221.72407744032668,106.10114198760421,IDHmut_TP53mut,3.25
260.4259591255878,-43.600682863395534,IDHmut_TP53mut,3.25
233.94931552097344,60.26870556444995,IDHmut_TP53mut,3.25
-152.2494842685195,-88.09836409338364,IDHmut_TP53wt,3.25
-195.68048943515856,-95.62963373739422,IDHmut_TP53wt,3.25
160.51182189960244,-113.5050736119121,IDHmut_TP53mut,3.25
133.74342550171167,-44.89080814914044,IDHmut_TP53mut,3.25
141.5824813812401,-71.16051143076596,IDHmut_TP53mut,3.25
-237.6981951689488,-20.344506741403492,IDHmut_TP53wt,3.25
-287.4362045842664,-11.644951962028344,IDHmut_TP53wt,3.25
162.11556836275483,107.56869145517895,IDHmut_TP53mut,3.25
-268.19557917178554,10.931108945847788,IDHmut_TP53wt,3.25
286.5274492625907,-59.04201531813639,IDHmut_TP53mut,3.25
82.22646086416219,-15.06549266819114,IDHmut_TP53mut,3.25
234.56500135375086,-77.77453201263006,IDHmut_TP53mut,3.25
306.57144880240423,-40.413523964432265,IDHmut_TP53mut,3.25
118.95516357287728,67.3109641185175,IDHmut_TP53mut,3.25
144.22702750508753,30.824207065770302,IDHmut_TP53mut,3.25
276.05270211393514,51.47873864722853,IDHmut_TP53mut,3.25
-165.383747202914,63.338348449685036,IDHmut_TP53wt,3.25
-192.54161921847913,4.762512374645495,IDHmut_TP53wt,3.25
108.03237325950323,8.786866236860858,IDHmut_TP53mut,3.25
-256.8995603479161,20.99874375021872,IDHmut_TP53wt,3.25
